"filename", "language", "YAML", "Markdown", "Properties", "Dart", "XML", "JSON", "HTML", "Swift", "C++", "comment", "blank", "total"
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\record_json.dart", "Dart", 0, 0, 0, 66, 0, 0, 0, 0, 0, 3, 6, 75
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\steamplayer_json.dart", "Dart", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 11, 92
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\wr_json.dart", "Dart", 0, 0, 0, 101, 0, 0, 0, 0, 0, 3, 7, 111
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\steamLogin.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 1, 28
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\urls.dart", "Dart", 0, 0, 0, 47, 0, 0, 0, 0, 0, 6, 7, 60
"c:\Users\davidp\Documents\GitHub\KZStats\pubspec.yaml", "YAML", 33, 0, 0, 0, 0, 0, 0, 0, 0, 35, 11, 79
"c:\Users\davidp\Documents\GitHub\KZStats\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\davidp\Documents\GitHub\KZStats\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 26, 0, 0, 15, 5, 46
"c:\Users\davidp\Documents\GitHub\KZStats\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"Total", "-", 33, 5, 3, 2084, 264, 168, 26, 12, 1, 193, 254, 3043
