"filename", "language", "Dart", "YAML", "Markdown", "Swift", "JSON", "C++", "HTML", "XML", "Properties", "comment", "blank", "total"
"c:\Users\davidp\Documents\GitHub\KZStats\lib\main.dart", "Dart", 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 56
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\about.dart", "Dart", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 119
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\bans.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\details\map_detail.dart", "Dart", 157, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 169
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\details\player_detail.dart", "Dart", 180, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 192
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\homepage.dart", "Dart", 242, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 252
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\jumpstats.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\loginPage.dart", "Dart", 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 171
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\maps.dart", "Dart", 305, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 328
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\players.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\profile.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\settings.dart", "Dart", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\davidp\Documents\GitHub\KZStats\lib\theme\colors.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\davidp\Documents\GitHub\KZStats\lib\theme\fonts.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
